id,date,price,bedrooms,bathrooms,sqft_lot,floors,waterfront,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode
514500195,20141016T000000,556000.0,4,2.5,7200,1.0,0,4,7,1010,1957,0,98005
2255500125,20140716T000000,749950.0,3,2.5,2263,2.0,0,3,8,670,2014,0,98122
1223039235,20141114T000000,605000.0,5,2.75,13332,2.0,0,4,8,0,1940,1991,98146
1432400095,20141106T000000,175000.0,3,1.0,7572,1.0,0,4,6,0,1958,0,98058
6788200360,20140903T000000,727000.0,3,2.25,4200,1.5,0,5,8,660,1939,0,98112
4024101451,20150430T000000,350000.0,4,1.0,7200,1.5,0,4,7,0,1955,0,98155
2473251170,20140626T000000,302000.0,4,1.75,17664,1.5,0,3,7,0,1968,0,98058
9828702667,20140519T000000,482500.0,3,2.25,1445,2.0,0,3,7,470,2005,0,98122
7714000310,20140719T000000,374950.0,4,2.5,4650,2.0,0,3,8,0,2004,0,98038
3558900580,20140922T000000,470000.0,3,2.5,8424,1.0,0,4,7,700,1968,0,98034
2767603577,20150506T000000,475000.0,2,1.5,1250,3.0,0,3,8,0,2000,0,98107
2428100080,20141001T000000,1061600.0,4,3.0,6695,2.0,0,3,10,0,2014,0,98075
2122039137,20150413T000000,462500.0,3,2.5,108900,1.0,0,4,7,0,1985,0,98070
3383900058,20141118T000000,580000.0,3,3.25,857,3.0,0,3,8,270,2001,0,98102
8106100085,20140509T000000,1702500.0,5,4.5,23716,2.0,0,3,11,1800,1987,2000,98040
9407100500,20150311T000000,273000.0,3,1.75,10545,2.0,0,4,6,0,1978,0,98045
1441600160,20140723T000000,1300000.0,4,3.0,14021,2.0,0,3,11,0,2005,0,98075
7504020400,20150127T000000,615000.0,4,2.25,15860,1.0,0,3,9,0,1977,0,98074
3630080030,20150224T000000,405000.0,3,2.5,2163,2.0,0,3,7,0,2005,0,98029
3541600210,20140618T000000,410000.0,4,2.0,10500,1.0,0,3,8,150,1961,0,98166
2149800278,20141015T000000,343000.0,6,5.0,7655,2.0,0,3,7,0,2009,0,98002
8562720420,20150430T000000,1349000.0,4,3.5,8611,2.0,0,3,11,1100,2006,0,98027
7277100640,20150409T000000,715000.0,3,2.5,6000,1.0,0,3,8,1330,1984,0,98177
2492200335,20150423T000000,901000.0,4,3.25,4080,1.0,0,3,7,0,1916,0,98126
1437900020,20150225T000000,450000.0,3,1.5,7200,1.0,0,3,7,0,1972,0,98034
254000175,20140819T000000,325000.0,2,1.0,4800,1.0,0,4,7,0,1969,0,98146
826069016,20141212T000000,458000.0,4,3.0,62726,1.5,0,3,7,0,1979,0,98077
9222400605,20141115T000000,842500.0,5,4.0,4500,1.5,0,3,7,910,1921,0,98115
1828000760,20140714T000000,529950.0,3,2.0,8400,1.0,0,3,7,360,1968,0,98052
5132000140,20150120T000000,415000.0,6,1.0,5080,1.5,0,3,6,250,1931,0,98106
4337000200,20141217T000000,228900.0,4,1.5,8775,1.0,0,3,7,0,1943,0,98166
1695900150,20140528T000000,700000.0,2,1.75,5500,1.5,0,3,8,600,1925,2000,98144
4006000251,20140822T000000,226000.0,3,1.0,5000,1.0,0,3,6,0,1968,0,98118
4139460390,20140620T000000,995000.0,4,4.5,13551,2.0,0,3,10,850,1998,0,98006
3395050060,20140722T000000,628000.0,3,1.75,11894,1.0,0,3,9,1810,1987,0,98011
7524950900,20150210T000000,620000.0,3,2.25,7495,1.0,0,4,8,440,1979,0,98027
8857100180,20150413T000000,350000.0,3,2.25,1340,2.0,0,3,8,40,1967,0,98008
7409700215,20140606T000000,550000.0,3,1.5,5000,1.5,0,3,7,260,1926,0,98115
9406500310,20141119T000000,240000.0,2,1.5,1263,2.0,0,3,7,0,1990,0,98028
1310910290,20150507T000000,327500.0,4,2.25,9600,2.0,0,3,8,0,1971,0,98032
3888100128,20140728T000000,968933.0,4,3.5,7304,2.0,0,3,11,1050,2006,0,98033
8714600145,20150401T000000,540000.0,2,1.75,4120,1.0,0,4,7,350,1906,0,98105
5729200030,20140707T000000,747500.0,4,2.25,18600,2.0,0,4,9,0,1977,0,98028
9828202215,20140905T000000,665000.0,4,3.0,4400,1.0,0,5,7,840,1921,0,98122
8100000060,20140729T000000,208000.0,3,1.75,7200,1.0,0,3,7,0,1994,0,98010
5103300020,20141020T000000,765000.0,4,2.5,25752,2.0,0,3,10,0,2000,0,98038
1180008315,20140715T000000,212000.0,3,1.0,6800,1.0,0,5,6,0,1951,0,98178
2141310540,20150506T000000,975000.0,5,2.5,9648,1.0,0,4,9,1040,1977,0,98006
3845100620,20141125T000000,400950.0,4,2.5,4554,2.0,0,3,9,0,2014,0,98092
6909700437,20140522T000000,353250.0,2,1.0,1600,2.0,0,3,7,0,1979,0,98144
7905370390,20141009T000000,475000.0,5,2.5,7200,1.0,0,3,7,1040,1975,0,98034
259601010,20150414T000000,485000.0,3,1.0,7200,1.0,0,3,7,0,1964,0,98008
8643200061,20140626T000000,235000.0,5,2.5,9583,1.0,0,3,7,1200,1979,0,98198
7335400215,20150505T000000,95000.0,1,0.75,5746,1.0,0,4,5,0,1915,0,98002
1823059205,20140604T000000,200000.0,3,1.5,15837,1.5,0,3,6,0,1903,0,98055
1310970380,20140519T000000,296500.0,3,2.75,7900,1.0,0,4,8,790,1978,0,98032
6633900050,20140826T000000,575000.0,3,2.5,4797,2.0,0,4,7,0,1991,0,98033
2024069128,20141110T000000,1030000.0,3,2.5,9816,1.0,0,3,10,935,2005,0,98027
7016100120,20140612T000000,440000.0,3,2.75,7392,1.0,0,5,7,530,1972,0,98011
1703400470,20141219T000000,375000.0,2,1.0,3915,1.0,0,4,7,0,1919,0,98118
3023049256,20140604T000000,390000.0,3,1.0,11108,1.0,0,4,7,0,1952,0,98166
2979800764,20140605T000000,390000.0,3,2.0,868,3.0,0,3,7,0,2003,0,98115
2223069112,20141112T000000,465000.0,3,2.25,117176,1.0,0,4,9,1280,1977,0,98027
3305100230,20140618T000000,820000.0,4,2.5,8523,2.0,0,3,9,0,2008,0,98033
1420400130,20141226T000000,215000.0,4,2.25,9600,1.0,0,4,7,0,1967,0,98031
1702901557,20140911T000000,445000.0,5,3.0,5500,1.0,0,3,7,1180,1951,0,98118
8650000070,20140808T000000,495000.0,5,2.75,10165,1.0,0,4,8,940,1976,0,98027
2231500030,20150324T000000,530000.0,4,2.25,10754,1.0,0,5,7,1080,1954,0,98133
8669160170,20140522T000000,259000.0,3,2.5,3569,2.0,0,3,7,0,2011,0,98002
7135520650,20141212T000000,1205000.0,5,4.25,13497,2.0,0,3,11,910,2000,0,98059
3416600111,20150323T000000,545000.0,2,1.5,3760,2.0,0,5,7,450,1924,0,98144
1982200790,20150127T000000,550000.0,3,2.0,3880,1.0,0,3,7,0,1959,0,98107
2473400290,20150126T000000,285000.0,4,2.5,8190,1.0,0,3,7,770,1977,0,98058
7137950350,20150122T000000,289950.0,4,3.0,5050,1.0,0,3,8,550,1993,0,98092
3262300940,20150210T000000,940000.0,3,1.0,8119,1.0,0,4,7,0,1955,0,98039
869700060,20140729T000000,315000.0,3,2.5,2767,2.0,0,3,8,0,1999,0,98059
7625700305,20140605T000000,564000.0,3,1.75,6250,1.0,0,5,7,890,1910,0,98136
1311000600,20140925T000000,250000.0,5,1.75,7700,1.0,0,5,7,1030,1962,0,98001
7504020960,20150107T000000,879900.0,4,2.75,12000,1.0,0,3,10,1740,1979,0,98074
3085001610,20140930T000000,397000.0,4,1.75,6000,1.0,0,3,7,400,1959,0,98144
1862900360,20140922T000000,315000.0,3,2.5,9618,2.0,0,3,7,0,1992,0,98031
1321059013,20150319T000000,725000.0,4,2.5,218506,2.0,0,3,10,0,1991,0,98092
8856001090,20150130T000000,185900.0,3,1.0,10890,1.0,0,4,5,0,1909,0,98001
6791100280,20141010T000000,430000.0,3,1.75,15225,1.0,0,4,7,700,1970,0,98075
1432700880,20150409T000000,280000.0,2,1.0,12861,1.0,0,3,6,0,1959,0,98058
6150700264,20150224T000000,396000.0,3,1.0,6160,1.0,0,4,7,0,1949,0,98133
1556200205,20141118T000000,774900.0,5,1.0,3861,1.5,0,3,7,0,1903,0,98122
993002325,20140623T000000,430000.0,2,1.5,4625,1.0,0,4,7,0,1949,0,98103
3295900520,20141107T000000,429950.0,4,2.5,4524,2.0,0,3,8,0,2004,0,98059
2459500310,20150218T000000,358000.0,3,2.25,6655,2.0,0,4,7,0,1985,0,98058
4022905473,20141205T000000,565000.0,5,3.0,12480,1.0,0,3,8,970,2012,0,98155
2489200250,20150430T000000,528000.0,3,2.0,6300,1.0,0,3,7,0,1924,0,98126
7214810150,20141002T000000,428000.0,3,1.75,9350,1.0,0,3,7,840,1979,0,98072
4017110200,20150127T000000,469000.0,3,2.25,9957,1.0,0,3,8,630,1977,0,98155
9528102996,20141207T000000,549000.0,3,1.75,1044,3.0,0,3,8,0,2014,0,98115
2117700085,20140730T000000,375950.0,3,1.75,7560,1.0,0,3,6,380,1920,1985,98117
5415000240,20150224T000000,330000.0,4,1.75,14417,1.0,0,4,7,0,1968,0,98065
1545800205,20140613T000000,324900.0,4,2.5,7965,2.0,0,3,7,0,2000,0,98038
255450030,20140918T000000,369946.0,3,2.5,4725,2.0,0,3,8,0,2014,0,98038
3110800030,20141028T000000,230000.0,4,1.5,9516,1.0,0,4,7,0,1969,0,98031
2225059118,20141202T000000,949000.0,4,2.75,42253,1.0,0,4,9,1120,1973,0,98005
923000580,20150223T000000,614000.0,4,2.75,8160,1.5,0,4,8,980,1940,0,98177
2558640340,20140527T000000,375000.0,3,1.75,8775,1.0,0,3,7,0,1973,0,98034
4475000170,20141111T000000,370000.0,4,3.0,5511,2.0,0,3,8,0,1999,0,98058
8820903380,20150102T000000,730000.0,6,2.25,13579,2.0,0,3,7,0,1937,1990,98125
9438300035,20140827T000000,355000.0,3,1.75,8173,1.0,0,3,7,570,1958,0,98133
4475000120,20150202T000000,360000.0,4,3.0,6740,2.0,0,3,8,0,1999,0,98058
7682200340,20140728T000000,182000.0,3,2.25,8875,1.0,0,3,7,670,1965,0,98003
4343800100,20141021T000000,315000.0,3,1.75,7250,1.0,0,3,7,750,1952,0,98133
7558750190,20140724T000000,573000.0,4,2.25,9520,2.0,0,4,8,0,1979,0,98052
163000010,20140702T000000,330000.0,4,2.5,6093,2.0,0,3,8,0,2003,0,98042
9315300260,20140521T000000,189650.0,2,1.75,7600,1.0,0,3,6,0,1980,0,98198
4022900197,20140808T000000,399000.0,3,2.0,16300,1.0,0,3,7,800,1978,0,98155
263000164,20141217T000000,425000.0,2,1.0,6030,1.0,0,4,6,0,1925,0,98103
1459920190,20141204T000000,385000.0,4,2.5,5701,2.0,0,3,7,0,2010,0,98042
7254000050,20150224T000000,596000.0,3,2.5,2631,2.0,0,3,8,0,2001,0,98005
5459000240,20140604T000000,785000.0,3,1.75,9600,1.0,0,5,8,0,1961,0,98040
9512500460,20140711T000000,525000.0,3,1.5,9350,1.0,0,4,7,340,1969,0,98052
5318100840,20140606T000000,1280000.0,4,3.5,3600,2.0,0,3,9,640,1999,0,98112
1193000380,20150330T000000,740000.0,4,2.25,6000,1.5,0,3,8,420,1928,0,98199
8092501400,20150318T000000,209950.0,3,1.5,9600,1.0,0,4,7,0,1967,0,98042
4039100350,20150423T000000,665000.0,4,2.25,5300,1.0,0,5,8,640,1963,0,98008
5255710010,20141215T000000,435000.0,3,1.75,13700,1.0,0,3,8,400,1976,0,98011
7468900270,20140729T000000,140000.0,3,1.0,10114,1.0,0,4,7,0,1955,0,98002
1061500110,20150423T000000,240000.0,3,1.0,15264,1.0,0,4,7,0,1962,0,98056
1568100300,20140917T000000,350000.0,6,4.5,8504,2.0,0,3,7,0,1980,0,98155
1423089118,20150325T000000,494000.0,4,2.25,42000,1.0,0,3,7,620,1983,0,98045
3354400545,20140715T000000,190000.0,4,2.5,13493,2.0,0,3,7,0,1994,0,98001
7205510370,20141124T000000,304500.0,3,2.25,6930,1.0,0,3,7,400,1974,0,98003
8032700175,20141027T000000,420000.0,4,1.0,1501,1.5,0,3,7,0,1906,0,98103
8122101440,20140708T000000,325000.0,2,1.0,7260,1.0,0,3,7,0,1953,0,98126
7131300047,20140826T000000,235000.0,2,1.0,4500,1.5,0,3,7,890,1917,0,98118
3223069118,20140616T000000,554000.0,3,3.5,108900,2.0,0,3,9,680,1999,0,98058
